id,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
425,34,Travel_Rarely,571,Research & Development,22,3,Life Sciences,1,1,Male,40,2,3,Research Director,2,Single,11557,22174,4,Y,No,17,3,1,80,0,9,2,3,6,5,1,2,1
426,35,Travel_Rarely,836,Research & Development,1,3,Medical,1,1,Female,95,3,1,Research Scientist,4,Married,2659,18089,1,Y,Yes,21,4,2,80,1,8,3,3,8,4,7,3,0
427,32,Travel_Rarely,1476,Research & Development,28,2,Life Sciences,1,1,Male,81,3,2,Manufacturing Director,4,Married,5473,4060,3,Y,No,14,3,2,80,0,8,3,3,4,1,1,3,0
428,29,Travel_Rarely,1300,Research & Development,7,2,Medical,1,3,Male,57,3,2,Manufacturing Director,3,Divorced,4960,24017,1,Y,No,12,3,4,80,1,7,2,3,7,4,0,5,0
429,23,Travel_Rarely,604,Research & Development,10,3,Life Sciences,1,3,Male,75,4,1,Research Scientist,4,Married,2836,10293,1,Y,No,13,3,2,80,1,1,1,3,1,0,0,0,0
430,31,Travel_Rarely,1401,Research & Development,26,3,Life Sciences,1,1,Male,93,3,1,Research Scientist,4,Married,3201,19921,4,Y,No,20,4,4,80,1,6,1,3,2,1,2,2,0
431,36,Travel_Rarely,1202,Research & Development,9,3,Medical,1,1,Female,58,2,1,Laboratory Technician,2,Single,2351,26342,6,Y,No,12,3,3,80,0,15,2,3,1,0,0,0,1
432,35,Travel_Rarely,977,Research & Development,18,3,Other,1,4,Female,43,3,1,Research Scientist,2,Single,2678,15238,6,Y,No,14,3,2,80,0,6,3,3,3,2,1,2,0
433,30,Travel_Rarely,848,Sales,11,4,Medical,1,4,Female,89,4,2,Sales Executive,3,Married,5343,5982,3,Y,No,14,3,3,80,1,12,3,3,1,0,0,0,0
434,29,Travel_Rarely,506,Research & Development,10,2,Technical Degree,1,1,Male,35,3,2,Research Scientist,1,Single,5674,23793,1,Y,No,13,3,3,80,0,10,3,3,10,2,0,7,0
435,38,Travel_Rarely,530,Research & Development,3,3,Technical Degree,1,3,Female,100,3,3,Healthcare Representative,1,Married,10325,24097,4,Y,No,11,3,2,80,1,17,4,3,15,12,5,12,0
436,41,Travel_Rarely,335,Research & Development,10,4,Life Sciences,1,1,Male,61,2,1,Laboratory Technician,4,Divorced,2296,10425,3,Y,No,17,3,2,80,1,7,3,2,1,0,0,0,0
437,45,Travel_Rarely,334,Sales,2,2,Medical,1,3,Male,86,3,2,Sales Executive,4,Married,5486,6961,4,Y,Yes,13,3,1,80,0,14,3,2,8,7,7,0,1
438,36,Non-Travel,1179,Research & Development,15,3,Medical,1,3,Male,48,3,1,Laboratory Technician,2,Single,3452,9096,2,Y,No,16,3,2,80,0,10,3,3,5,4,0,3,0
439,28,Travel_Rarely,1303,Research & Development,24,3,Medical,1,3,Male,49,2,1,Laboratory Technician,4,Married,2436,6409,1,Y,Yes,13,3,2,80,1,6,3,3,6,5,1,3,1
440,29,Travel_Rarely,827,Research & Development,9,3,Medical,1,3,Female,89,2,1,Laboratory Technician,4,Single,2404,19294,1,Y,No,11,3,3,80,0,1,6,3,1,0,0,0,0
441,30,Travel_Rarely,1169,Sales,5,2,Life Sciences,1,1,Male,72,2,2,Sales Executive,1,Single,5326,11864,0,Y,No,20,4,3,80,0,6,3,3,5,2,1,2,0
442,29,Non-Travel,1169,Sales,25,3,Life Sciences,1,3,Female,98,3,2,Sales Executive,4,Divorced,4197,22149,1,Y,Yes,14,3,3,80,1,5,3,3,5,2,1,3,0
443,31,Travel_Rarely,648,Research & Development,8,4,Medical,1,1,Male,82,3,1,Research Scientist,2,Married,2718,17778,3,Y,No,19,3,4,80,1,7,3,2,3,2,1,2,0
444,43,Travel_Rarely,1312,Research & Development,8,2,Life Sciences,1,3,Male,97,3,2,Manufacturing Director,3,Married,4448,17852,3,Y,No,13,3,4,80,1,10,6,3,7,2,0,7,0
445,60,Travel_Rarely,1396,Sales,5,3,Life Sciences,1,2,Male,46,3,4,Sales Executive,3,Married,13269,11354,2,Y,No,11,3,4,80,1,23,2,4,17,13,4,12,0
446,38,Travel_Frequently,549,Research & Development,11,2,Medical,1,2,Male,76,4,2,Laboratory Technician,4,Married,3917,22490,9,Y,Yes,14,3,3,80,2,10,3,3,3,2,1,2,0
447,27,Travel_Rarely,861,Research & Development,16,3,Medical,1,4,Female,78,4,1,Research Scientist,1,Single,3517,20251,9,Y,No,19,3,2,80,0,6,3,3,1,0,1,0,0
448,54,Travel_Rarely,1356,Sales,9,4,Marketing,1,3,Male,54,3,2,Sales Executive,2,Single,9250,20497,2,Y,Yes,19,3,3,80,0,13,3,3,5,4,0,4,0
449,36,Travel_Frequently,1329,Research & Development,2,4,Medical,1,3,Male,90,3,1,Laboratory Technician,3,Single,2644,23231,3,Y,Yes,19,3,1,80,0,7,3,3,2,2,2,2,1
450,39,Travel_Rarely,430,Research & Development,7,4,Medical,1,1,Male,60,3,1,Laboratory Technician,4,Married,3346,23070,7,Y,Yes,22,4,4,80,1,7,3,3,1,0,0,0,0
451,45,Travel_Frequently,530,Sales,29,3,Marketing,1,3,Female,52,3,3,Sales Executive,1,Divorced,10453,16376,1,Y,No,21,4,1,80,2,24,0,3,24,9,13,10,0
452,41,Travel_Rarely,634,Research & Development,25,3,Life Sciences,1,2,Female,80,3,3,Healthcare Representative,4,Single,7406,2373,2,Y,No,14,3,3,80,0,10,3,3,6,4,1,4,0
453,50,Travel_Rarely,1229,Research & Development,2,3,Medical,1,2,Male,50,3,5,Manager,1,Single,16856,21082,2,Y,No,11,3,3,80,0,30,3,3,3,2,0,2,0
454,38,Travel_Rarely,444,Human Resources,2,4,Human Resources,1,3,Male,68,3,3,Human Resources,4,Married,10609,22722,7,Y,Yes,16,3,2,80,0,17,2,3,15,3,12,13,0
455,40,Non-Travel,1179,Sales,8,4,Marketing,1,3,Male,46,3,3,Sales Executive,1,Divorced,8998,10893,7,Y,No,12,3,3,80,1,10,2,3,9,7,3,8,0
456,30,Travel_Frequently,589,Sales,17,5,Marketing,1,4,Male,77,2,2,Sales Executive,4,Divorced,4148,17783,0,Y,No,13,3,4,80,1,12,3,3,11,7,0,9,0
457,25,Travel_Frequently,461,Research & Development,10,1,Medical,1,4,Male,56,3,1,Laboratory Technician,4,Single,3917,14229,7,Y,No,17,3,4,80,0,5,3,3,3,2,1,2,0
458,25,Travel_Rarely,1375,Sales,15,1,Life Sciences,1,1,Male,96,3,2,Sales Executive,4,Married,4162,17544,1,Y,No,16,3,2,80,2,5,2,3,5,4,0,3,0
459,40,Travel_Rarely,427,Research & Development,4,3,Technical Degree,1,2,Male,76,3,2,Laboratory Technician,4,Divorced,5405,20364,0,Y,No,18,3,4,80,2,21,3,3,20,17,0,8,0
460,26,Travel_Rarely,736,Sales,2,1,Marketing,1,1,Male,86,3,2,Sales Executive,4,Married,6232,10877,0,Y,No,12,3,3,80,1,5,3,3,4,2,1,2,0
461,39,Travel_Frequently,1035,Research & Development,6,5,Medical,1,2,Male,91,2,1,Research Scientist,1,Divorced,3074,15174,0,Y,No,19,3,1,80,2,6,2,2,5,4,0,4,0
462,46,Travel_Rarely,836,Sales,18,4,Life Sciences,1,3,Female,84,3,2,Sales Executive,3,Single,6500,14229,1,Y,No,17,3,4,80,0,9,2,2,9,4,1,8,0
463,24,Travel_Rarely,1157,Research & Development,3,3,Other,1,4,Male,66,3,1,Laboratory Technician,4,Divorced,3702,16376,4,Y,No,12,3,2,80,1,5,3,1,2,2,0,2,0
464,36,Travel_Frequently,185,Research & Development,9,3,Medical,1,4,Male,69,3,1,Laboratory Technician,4,Married,2696,26186,0,Y,No,17,3,3,80,1,3,3,3,1,0,0,0,0
465,32,Travel_Rarely,1146,Human Resources,1,4,Medical,1,2,Female,51,3,1,Human Resources,4,Single,3212,18624,4,Y,No,15,3,4,80,0,10,2,3,6,3,0,2,0
466,50,Travel_Rarely,1261,Research & Development,7,4,Medical,1,1,Male,76,3,1,Research Scientist,2,Single,2380,9964,3,Y,No,16,3,3,80,0,5,2,2,1,0,0,0,0
467,41,Travel_Rarely,1084,Research & Development,3,4,Other,1,2,Male,59,3,2,Manufacturing Director,4,Divorced,6180,6759,3,Y,No,17,3,4,80,1,12,5,3,7,2,1,7,0
468,45,Travel_Rarely,1220,Research & Development,8,4,Other,1,3,Male,42,3,2,Research Scientist,1,Married,4478,23099,9,Y,No,12,3,4,80,0,9,2,3,4,3,1,3,0
469,34,Travel_Rarely,300,Research & Development,1,3,Life Sciences,1,4,Male,84,4,2,Manufacturing Director,1,Divorced,4345,20689,1,Y,No,22,4,3,80,2,15,3,2,15,14,5,12,0
470,33,Travel_Rarely,1245,Research & Development,10,4,Other,1,1,Male,70,4,2,Research Scientist,3,Married,5775,16143,4,Y,No,19,3,2,80,0,10,5,4,7,7,0,2,0
471,35,Travel_Rarely,395,Sales,4,3,Technical Degree,1,3,Male,58,3,1,Sales Representative,3,Married,2231,4658,9,Y,No,19,3,4,80,1,7,3,3,2,2,2,2,0
472,27,Travel_Rarely,1131,Research & Development,4,1,Medical,1,2,Male,46,3,1,Laboratory Technician,3,Married,2559,7108,1,Y,No,18,3,3,80,1,2,5,3,2,2,2,2,0
473,34,Travel_Rarely,350,Research & Development,7,2,Life Sciences,1,2,Female,91,2,1,Research Scientist,3,Married,2768,22478,1,Y,Yes,14,3,4,80,1,1,3,3,1,0,0,0,0
474,50,Travel_Rarely,623,Research & Development,8,3,Life Sciences,1,4,Male,59,3,4,Research Director,2,Single,16659,25755,3,Y,No,12,3,4,80,0,28,3,3,9,0,6,7,0
475,36,Travel_Frequently,1089,Research & Development,19,4,Medical,1,3,Male,95,2,1,Laboratory Technician,3,Single,2342,23016,3,Y,No,22,4,4,80,0,8,5,3,5,4,4,4,1
476,27,Travel_Rarely,1226,Sales,8,2,Technical Degree,1,1,Female,87,3,1,Sales Representative,4,Single,2308,9558,1,Y,No,23,4,4,80,0,9,2,3,9,7,0,8,0
477,30,Travel_Rarely,809,Research & Development,19,4,Medical,1,4,Female,96,2,1,Laboratory Technician,4,Divorced,3196,22477,1,Y,No,13,3,1,80,2,8,3,3,8,0,0,7,0
478,39,Travel_Rarely,594,Research & Development,11,2,Medical,1,2,Female,40,3,2,Manufacturing Director,3,Married,6162,14776,0,Y,No,14,3,1,80,3,9,3,3,8,7,1,7,0
479,30,Travel_Rarely,1339,Sales,9,2,Other,1,4,Male,41,3,3,Sales Executive,1,Married,10448,5843,0,Y,No,11,3,4,80,1,12,3,2,9,7,7,6,0
480,29,Travel_Frequently,882,Research & Development,20,3,Technical Degree,1,2,Male,62,3,1,Laboratory Technician,3,Married,2468,18779,1,Y,No,16,3,4,80,0,5,2,3,5,3,1,1,1
481,35,Travel_Rarely,970,Sales,8,4,Other,1,2,Male,60,3,2,Sales Executive,3,Married,4601,14669,1,Y,No,21,4,1,80,1,15,4,2,15,12,5,4,0
482,36,Travel_Rarely,557,Research & Development,4,2,Life Sciences,1,3,Male,62,3,1,Research Scientist,1,Married,2756,3423,9,Y,No,13,3,2,80,1,10,2,2,5,4,0,3,0
483,36,Travel_Rarely,477,Research & Development,3,3,Life Sciences,1,4,Male,73,4,1,Research Scientist,4,Single,2244,17808,1,Y,Yes,12,3,4,80,0,8,2,3,8,7,0,7,0
484,35,Travel_Rarely,1189,Research & Development,14,3,Medical,1,3,Male,49,3,2,Research Scientist,3,Divorced,5745,24152,5,Y,No,12,3,2,80,1,16,2,3,15,11,4,13,0
485,32,Travel_Frequently,200,Sales,3,2,Medical,1,4,Male,45,3,2,Sales Executive,4,Single,5346,21072,4,Y,No,13,3,3,80,0,7,6,2,0,0,0,0,0
486,26,Travel_Frequently,571,Research & Development,28,4,Life Sciences,1,3,Male,70,3,2,Manufacturing Director,3,Married,4614,3854,9,Y,No,18,3,2,80,1,4,5,2,3,2,0,2,0
487,39,Travel_Rarely,1112,Research & Development,3,2,Life Sciences,1,1,Female,63,1,2,Laboratory Technician,1,Divorced,5689,17258,1,Y,No,13,3,1,80,1,10,2,3,10,8,0,8,0
488,30,Travel_Rarely,563,Research & Development,17,1,Medical,1,2,Male,51,2,1,Research Scientist,2,Married,3907,15497,1,Y,No,16,3,3,80,1,6,2,4,6,3,1,0,0
489,22,Travel_Rarely,581,Research & Development,3,1,Life Sciences,1,1,Female,61,3,1,Research Scientist,1,Married,2686,18154,1,Y,No,12,3,3,80,0,4,5,2,3,2,1,2,0
490,40,Travel_Rarely,672,Research & Development,8,3,Medical,1,3,Male,72,3,3,Manufacturing Director,2,Married,10903,10195,3,Y,No,19,3,3,80,1,15,2,3,12,10,4,10,0
491,46,Travel_Rarely,1278,Sales,7,4,Medical,1,4,Male,80,2,3,Sales Executive,1,Single,9699,5598,9,Y,No,11,3,3,80,0,14,2,3,2,2,2,2,0
492,39,Travel_Rarely,117,Research & Development,14,4,Life Sciences,1,4,Male,56,3,1,Research Scientist,4,Married,4678,22074,3,Y,No,15,3,2,80,0,9,3,2,5,4,1,3,0
493,50,Travel_Rarely,193,Research & Development,7,3,Medical,1,3,Male,64,3,3,Research Director,3,Married,13194,12853,8,Y,No,11,3,3,80,1,19,4,3,9,8,1,1,0
494,40,Travel_Rarely,645,Research & Development,2,3,Medical,1,3,Male,84,4,3,Manager,1,Married,12808,8842,2,Y,No,15,3,4,80,0,15,2,3,8,7,1,7,0
495,35,Travel_Rarely,147,Research & Development,2,2,Life Sciences,1,4,Male,96,4,1,Laboratory Technician,2,Married,2683,15986,1,Y,No,17,3,2,80,1,3,3,2,3,2,1,2,0
496,26,Travel_Rarely,374,Research & Development,1,2,Medical,1,4,Female,83,3,1,Laboratory Technician,1,Divorced,2853,5348,1,Y,No,20,4,3,80,2,1,2,2,1,0,0,0,0
497,33,Travel_Rarely,670,Research & Development,6,3,Life Sciences,1,3,Male,51,3,1,Laboratory Technician,4,Divorced,2514,11189,4,Y,No,17,3,3,80,1,13,2,3,11,8,4,7,0
498,22,Travel_Rarely,265,Research & Development,5,3,Life Sciences,1,4,Male,69,2,1,Laboratory Technician,2,Single,2693,26959,1,Y,No,16,3,4,80,0,1,3,3,1,0,0,1,0
499,40,Travel_Rarely,530,Research & Development,10,3,Life Sciences,1,3,Female,79,2,3,Research Director,4,Single,13191,8059,2,Y,No,21,4,3,80,0,20,1,2,1,0,0,0,0
500,33,Travel_Rarely,218,Sales,10,3,Marketing,1,3,Male,72,3,2,Sales Executive,1,Married,4189,9100,1,Y,No,13,3,4,80,2,5,3,4,5,3,0,4,0
501,38,Travel_Frequently,408,Research & Development,7,4,Medical,1,4,Male,63,2,1,Laboratory Technician,4,Single,2372,11005,7,Y,No,22,4,1,80,0,7,5,1,0,0,0,0,1
502,36,Travel_Rarely,715,Research & Development,9,4,Life Sciences,1,2,Male,82,2,2,Laboratory Technician,3,Married,5207,16458,0,Y,No,11,3,3,80,1,18,2,3,17,14,12,13,0
503,35,Travel_Rarely,605,Research & Development,12,3,Life Sciences,1,3,Female,69,3,1,Laboratory Technician,1,Married,1675,22098,3,Y,No,22,4,3,80,1,16,4,2,1,0,0,0,0
504,38,Travel_Rarely,1316,Sales,2,2,Life Sciences,1,4,Male,59,2,2,Sales Executive,2,Married,6877,3064,2,Y,No,14,3,3,80,2,13,5,3,0,0,0,0,0
505,43,Travel_Frequently,566,Research & Development,8,2,Life Sciences,1,3,Male,94,3,3,Laboratory Technician,3,Divorced,10502,9659,9,Y,No,20,4,1,80,1,18,3,3,3,2,1,2,0
506,50,Travel_Rarely,818,Research & Development,3,2,Other,1,4,Female,94,3,4,Research Director,2,Married,18789,11652,2,Y,No,17,3,3,80,0,22,2,4,3,2,0,2,0
507,24,Travel_Frequently,991,Sales,28,2,Marketing,1,3,Male,48,3,1,Sales Representative,4,Married,4876,11591,9,Y,No,11,3,2,80,1,6,3,3,5,3,0,3,0
508,36,Travel_Rarely,1334,Research & Development,6,1,Life Sciences,1,4,Female,45,3,1,Research Scientist,4,Single,3646,8489,4,Y,Yes,13,3,1,80,0,7,2,3,1,0,0,0,0
509,31,Travel_Rarely,1277,Research & Development,7,4,Life Sciences,1,2,Male,68,3,1,Research Scientist,1,Single,2856,4279,1,Y,No,11,3,1,80,0,2,3,3,2,2,2,2,1
510,34,Travel_Rarely,478,Sales,3,3,Life Sciences,1,2,Female,37,3,2,Sales Executive,2,Single,6825,13693,1,Y,No,14,3,3,80,0,6,2,3,6,3,1,2,0
511,37,Non-Travel,1217,Sales,10,2,Marketing,1,4,Male,98,3,2,Sales Executive,3,Single,6500,16734,4,Y,No,15,3,2,80,0,8,2,2,6,2,3,4,0
512,34,Travel_Rarely,984,Research & Development,5,2,Medical,1,4,Male,48,3,2,Research Scientist,1,Married,5056,6227,2,Y,No,12,3,3,80,1,16,3,4,15,13,14,14,0
513,35,Travel_Rarely,1427,Research & Development,1,3,Other,1,4,Male,52,2,2,Laboratory Technician,2,Single,3681,2326,0,Y,No,14,3,4,80,0,6,2,3,5,4,1,3,0
514,43,Travel_Rarely,1180,Research & Development,3,3,Life Sciences,1,4,Male,89,3,1,Laboratory Technician,4,Married,2819,3809,3,Y,No,18,3,3,80,3,7,5,3,0,0,0,0,0
515,25,Travel_Frequently,672,Research & Development,1,3,Medical,1,3,Female,96,2,1,Laboratory Technician,4,Married,3730,25308,1,Y,Yes,21,4,4,80,1,7,3,3,7,3,7,6,0
516,30,Travel_Frequently,557,Research & Development,2,3,Medical,1,3,Female,64,3,2,Research Scientist,1,Single,6811,20234,0,Y,No,12,3,1,80,0,9,2,3,8,7,0,7,0
517,29,Travel_Rarely,1225,Sales,16,3,Marketing,1,3,Female,86,2,2,Sales Executive,1,Divorced,4323,5829,0,Y,No,18,3,2,80,1,10,2,3,9,7,0,6,0
518,40,Travel_Rarely,1265,Sales,7,4,Life Sciences,1,2,Male,78,3,2,Sales Executive,4,Married,5473,24609,4,Y,No,11,3,3,80,1,15,2,2,3,2,0,1,0
519,29,Travel_Rarely,501,Research & Development,6,4,Technical Degree,1,3,Male,40,2,1,Laboratory Technician,4,Single,2570,19905,1,Y,No,11,3,4,80,0,8,2,3,8,2,3,7,0
520,27,Travel_Rarely,793,Sales,20,3,Medical,1,2,Female,68,3,2,Sales Executive,1,Married,4759,15891,1,Y,No,21,4,1,80,0,10,2,2,10,7,0,8,0
521,35,Travel_Rarely,882,Research & Development,18,3,Life Sciences,1,3,Male,91,3,1,Research Scientist,1,Married,2380,8544,2,Y,No,17,3,1,80,0,10,3,1,1,0,0,0,1
522,51,Travel_Rarely,1075,Sales,2,2,Life Sciences,1,2,Male,74,1,2,Sales Executive,4,Divorced,4537,21534,4,Y,No,15,3,1,80,1,9,3,3,4,2,1,2,0
523,42,Travel_Rarely,740,Research & Development,8,4,Life Sciences,1,3,Male,33,3,2,Laboratory Technician,4,Single,5257,22812,0,Y,No,21,4,3,80,0,10,4,2,10,9,7,7,0
524,34,Travel_Rarely,1243,Sales,8,2,Life Sciences,1,1,Female,32,3,2,Sales Executive,4,Single,5155,22670,1,Y,No,15,3,3,80,0,6,2,2,6,4,0,4,0
525,39,Travel_Rarely,1091,Research & Development,5,3,Medical,1,4,Female,74,3,2,Manufacturing Director,3,Divorced,9738,4204,8,Y,No,14,3,3,80,2,15,3,3,2,2,2,2,0
526,31,Travel_Rarely,688,Research & Development,9,4,Technical Degree,1,4,Female,95,2,3,Manufacturing Director,3,Single,9278,22456,2,Y,Yes,11,3,4,80,0,11,3,3,4,2,1,2,0
527,38,Travel_Rarely,548,Research & Development,1,15,Life Sciences,1,1,Female,72,3,1,Laboratory Technician,4,Divorced,2644,6217,7,Y,No,13,3,1,80,1,7,2,3,5,2,1,4,0
528,29,Travel_Rarely,1223,Research & Development,8,1,Life Sciences,1,4,Male,49,3,1,Human Resources,4,Single,3131,4761,0,Y,No,18,3,1,80,0,4,2,2,3,2,1,2,0
529,37,Travel_Rarely,1480,Research & Development,2,1,Life Sciences,1,3,Male,42,2,1,Laboratory Technician,3,Single,2099,4681,4,Y,Yes,13,3,3,80,0,13,2,2,11,9,4,9,1
530,46,Travel_Rarely,426,Research & Development,21,3,Medical,1,3,Female,41,1,2,Healthcare Representative,4,Married,5207,5207,0,Y,No,18,3,3,80,1,10,3,3,9,8,3,7,0
531,23,Travel_Rarely,310,Sales,2,1,Medical,1,3,Male,44,3,1,Sales Representative,4,Married,2823,10557,1,Y,No,20,4,2,80,0,1,2,2,1,0,0,0,0
532,28,Travel_Rarely,1297,Research & Development,5,3,Life Sciences,1,1,Female,42,3,1,Research Scientist,1,Single,2319,21221,1,Y,No,23,4,3,80,0,5,5,2,5,4,1,3,1
533,44,Travel_Frequently,798,Research & Development,2,1,Medical,1,3,Female,70,3,1,Research Scientist,4,Married,4084,15497,9,Y,No,20,4,3,80,1,6,2,3,4,3,1,2,0
534,42,Travel_Rarely,634,Sales,2,3,Life Sciences,1,4,Male,44,3,4,Manager,4,Married,17328,14618,1,Y,No,12,3,4,80,1,22,2,1,22,5,4,9,0
535,22,Travel_Rarely,1116,Research & Development,2,1,Life Sciences,1,4,Male,100,3,1,Laboratory Technician,4,Single,3688,5118,1,Y,No,13,3,3,80,0,2,2,3,2,2,2,2,0
536,24,Non-Travel,1383,Sales,12,1,Life Sciences,1,3,Female,92,3,2,Sales Executive,1,Married,4614,7747,1,Y,No,14,3,3,80,0,5,2,2,5,4,0,8,0
537,29,Travel_Rarely,1245,Research & Development,10,1,Life Sciences,1,1,Male,33,3,2,Laboratory Technician,1,Married,4197,6076,3,Y,No,14,3,3,80,0,11,3,1,8,0,3,7,1
538,34,Travel_Frequently,482,Research & Development,1,3,Life Sciences,1,3,Male,92,3,2,Manufacturing Director,3,Married,6162,20948,5,Y,No,15,3,1,80,1,6,3,4,3,2,1,2,0
539,39,Travel_Rarely,1387,Sales,6,3,Medical,1,4,Male,76,3,3,Sales Executive,4,Single,9724,21816,7,Y,Yes,13,3,1,80,0,11,3,3,9,7,7,8,1
540,28,Travel_Rarely,746,Research & Development,2,2,Medical,1,4,Male,46,2,1,Laboratory Technician,1,Single,2267,3157,0,Y,No,12,3,4,80,0,4,2,3,3,2,0,2,0
541,22,Travel_Rarely,1255,Research & Development,1,3,Life Sciences,1,2,Female,90,2,1,Laboratory Technician,2,Married,2694,6393,1,Y,No,18,3,4,80,1,1,3,2,1,0,0,0,0
542,48,Travel_Rarely,1116,Research & Development,2,4,Life Sciences,1,4,Male,85,3,1,Laboratory Technician,1,Single,4876,11924,2,Y,No,11,3,4,80,0,8,5,3,2,2,2,2,0
543,24,Travel_Rarely,1358,Research & Development,22,2,Life Sciences,1,1,Male,86,3,1,Research Scientist,4,Married,2836,10554,1,Y,No,11,3,3,80,1,1,2,3,1,0,0,0,1
544,32,Travel_Rarely,1157,Sales,2,4,Life Sciences,1,4,Female,55,2,3,Sales Executive,1,Single,7441,14947,3,Y,No,12,3,4,80,0,10,2,4,8,7,7,7,0
545,24,Travel_Rarely,1153,Research & Development,1,3,Life Sciences,1,1,Male,96,3,1,Research Scientist,3,Married,2238,6582,4,Y,No,14,3,3,80,3,6,2,3,3,2,0,2,0
546,27,Travel_Rarely,482,Sales,2,2,Other,1,2,Male,92,3,2,Sales Executive,4,Married,4249,2690,2,Y,Yes,21,4,1,80,1,5,2,2,3,2,0,2,0
547,37,Travel_Rarely,921,Research & Development,2,4,Life Sciences,1,1,Male,79,1,2,Research Scientist,2,Married,6883,9255,6,Y,Yes,14,3,2,80,1,17,2,3,7,4,0,7,1
548,27,Travel_Rarely,756,Sales,8,3,Life Sciences,1,4,Female,73,3,2,Sales Executive,4,Single,6332,17783,0,Y,No,16,3,2,80,0,6,3,3,6,2,0,2,0
549,38,Travel_Rarely,1398,Research & Development,25,3,Life Sciences,1,2,Male,67,3,1,Laboratory Technician,4,Married,2389,11012,4,Y,No,20,4,4,80,1,13,2,2,12,11,5,11,0
550,32,Travel_Frequently,390,Research & Development,1,3,Medical,1,1,Female,74,3,1,Research Scientist,4,Single,3230,3356,3,Y,Yes,11,3,3,80,0,4,3,3,2,2,2,2,1
551,39,Travel_Rarely,723,Sales,29,3,Marketing,1,4,Female,76,3,3,Sales Executive,1,Married,10475,24444,1,Y,No,18,3,3,80,3,21,3,2,20,7,10,9,0
552,46,Travel_Rarely,562,Research & Development,1,3,Medical,1,3,Male,89,3,5,Manager,2,Married,18606,13684,4,Y,No,14,3,3,80,1,24,5,3,22,7,11,7,0
553,31,Non-Travel,1457,Sales,1,4,Life Sciences,1,1,Female,42,2,2,Sales Executive,1,Married,6410,26551,9,Y,Yes,12,3,1,80,0,10,2,3,3,2,2,2,0
554,59,Travel_Rarely,594,Research & Development,1,4,Medical,1,3,Male,84,3,4,Manager,2,Divorced,16307,3536,3,Y,No,14,3,4,80,2,31,2,4,9,7,4,3,0
555,59,Travel_Rarely,1242,Research & Development,3,1,Life Sciences,1,3,Female,42,3,2,Healthcare Representative,4,Single,5258,19760,4,Y,No,11,3,1,80,0,10,2,3,3,2,0,2,0
556,29,Travel_Rarely,1204,Sales,21,4,Other,1,3,Female,67,2,2,Sales Executive,4,Married,4103,4652,1,Y,Yes,13,3,1,80,1,10,3,2,10,7,3,7,0
557,46,Travel_Rarely,1380,Sales,3,3,Life Sciences,1,3,Female,43,3,4,Manager,4,Married,17650,5200,2,Y,Yes,14,3,4,80,0,28,2,2,20,8,5,6,0
558,50,Travel_Rarely,1485,Research & Development,23,5,Medical,1,4,Male,100,3,4,Research Director,2,Married,17650,9724,3,Y,No,13,3,1,80,1,15,2,2,12,8,4,7,0
559,35,Travel_Frequently,1318,Research & Development,3,2,Life Sciences,1,3,Female,66,3,2,Manufacturing Director,3,Married,4450,15182,1,Y,Yes,21,4,4,80,1,5,2,3,5,4,1,4,0
560,46,Travel_Rarely,805,Research & Development,12,3,Other,1,3,Female,60,3,4,Healthcare Representative,1,Married,12490,17363,2,Y,Yes,11,3,3,80,1,28,3,3,20,7,4,17,0
561,26,Travel_Rarely,443,Research & Development,5,3,Technical Degree,1,2,Male,72,3,1,Research Scientist,2,Married,3660,17808,1,Y,No,13,3,3,80,1,3,3,3,3,2,1,2,0
562,30,Travel_Frequently,805,Sales,28,3,Life Sciences,1,3,Male,61,2,2,Sales Executive,1,Married,5204,24442,3,Y,No,14,3,3,80,1,9,2,3,7,5,0,7,0
563,31,Travel_Rarely,1366,Research & Development,7,3,Life Sciences,1,3,Female,97,3,1,Laboratory Technician,1,Married,2318,8556,1,Y,No,12,3,1,80,1,1,2,3,1,0,0,0,1
564,37,Travel_Rarely,1303,Research & Development,10,3,Life Sciences,1,3,Female,96,3,3,Manufacturing Director,1,Divorced,7457,26124,6,Y,Yes,15,3,2,80,3,9,3,4,6,3,0,5,0
565,27,Travel_Rarely,881,Research & Development,9,3,Medical,1,3,Male,65,3,1,Research Scientist,1,Divorced,2089,5531,1,Y,Yes,13,3,1,80,1,6,3,3,5,2,0,3,0
566,28,Travel_Frequently,1109,Sales,7,3,Life Sciences,1,3,Female,67,3,1,Sales Representative,2,Single,8606,11591,1,Y,No,15,3,3,80,0,7,3,4,7,0,0,6,1
567,24,Travel_Rarely,895,Research & Development,2,4,Life Sciences,1,3,Female,76,3,1,Laboratory Technician,4,Married,2694,16998,1,Y,No,12,3,3,80,0,1,3,1,1,0,1,0,1
